epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5975.52,0.88781,0.78411,1.16875,0.8348,0.84247,0.87712,0.65875,0.84198,0.56507,1.04458,0.004918,0.004918,0.004918
79,7445.84,0.89219,0.78423,1.1715,0.8358,0.84314,0.87792,0.65949,0.84136,0.56397,1.04415,0.004852,0.004852,0.004852
80,8898.46,0.88802,0.78168,1.1684,0.83802,0.84034,0.87816,0.65964,0.84111,0.56291,1.04385,0.004786,0.004786,0.004786
81,10356.4,0.88287,0.78158,1.16784,0.83697,0.84191,0.87867,0.66023,0.84048,0.5618,1.04338,0.00472,0.00472,0.00472
82,11811.4,0.88819,0.78299,1.16795,0.83782,0.84183,0.87879,0.66097,0.83964,0.56064,1.04273,0.004654,0.004654,0.004654
83,13264.7,0.88181,0.77152,1.16381,0.8365,0.84377,0.87897,0.66162,0.83879,0.55963,1.04197,0.004588,0.004588,0.004588
84,14726.6,0.88685,0.78018,1.16559,0.83547,0.84413,0.87923,0.66232,0.83798,0.55851,1.04127,0.004522,0.004522,0.004522
85,16182.5,0.88216,0.77031,1.16303,0.83431,0.84983,0.88063,0.66303,0.837,0.55715,1.0404,0.004456,0.004456,0.004456
86,17642.7,0.87687,0.77,1.1611,0.83191,0.85193,0.88083,0.66365,0.83571,0.55595,1.03938,0.00439,0.00439,0.00439
87,19103.6,0.87885,0.76819,1.16167,0.83279,0.85116,0.88122,0.66406,0.83459,0.55483,1.0383,0.004324,0.004324,0.004324
88,20559.5,0.87651,0.76227,1.15983,0.8326,0.85255,0.88142,0.66394,0.83382,0.554,1.03757,0.004258,0.004258,0.004258
89,22027.3,0.87412,0.75907,1.15678,0.83502,0.85164,0.88191,0.66455,0.83334,0.55259,1.03685,0.004192,0.004192,0.004192
90,23494.1,0.87185,0.75912,1.1592,0.83684,0.851,0.8827,0.66551,0.83271,0.55085,1.03633,0.004126,0.004126,0.004126
91,24962.3,0.87192,0.75845,1.15951,0.83574,0.85358,0.8832,0.66604,0.83215,0.54931,1.03578,0.00406,0.00406,0.00406
92,26422.4,0.86561,0.75304,1.1537,0.83835,0.85272,0.88391,0.66649,0.83106,0.54799,1.03504,0.003994,0.003994,0.003994
93,27886.2,0.86741,0.75454,1.15425,0.84005,0.85086,0.88429,0.66694,0.82994,0.54679,1.03403,0.003928,0.003928,0.003928
94,29354.6,0.86165,0.74286,1.15231,0.84053,0.85099,0.88452,0.66728,0.82916,0.54532,1.03331,0.003862,0.003862,0.003862
95,30863.1,0.86028,0.74216,1.14909,0.8427,0.85189,0.88472,0.66757,0.82817,0.54394,1.03247,0.003796,0.003796,0.003796
96,32322.9,0.86143,0.74482,1.14982,0.84234,0.85281,0.88513,0.66844,0.82741,0.54245,1.03187,0.00373,0.00373,0.00373
97,33797,0.85766,0.7352,1.14991,0.84528,0.85178,0.88558,0.66892,0.82637,0.54108,1.03106,0.003664,0.003664,0.003664
98,35249.7,0.85313,0.73437,1.14554,0.8448,0.85252,0.88602,0.66974,0.82551,0.53943,1.03038,0.003598,0.003598,0.003598
99,36710.7,0.85126,0.727,1.1451,0.84699,0.85187,0.88616,0.67021,0.82462,0.53807,1.02975,0.003532,0.003532,0.003532
100,38188.5,0.84806,0.72108,1.14254,0.84898,0.85016,0.88679,0.67071,0.82362,0.5369,1.02886,0.003466,0.003466,0.003466
101,39648.4,0.84622,0.72101,1.13966,0.85247,0.84762,0.88676,0.67099,0.82256,0.53566,1.02809,0.0034,0.0034,0.0034
102,41102.8,0.84411,0.71798,1.14223,0.85224,0.84727,0.88718,0.67141,0.82176,0.53482,1.02739,0.003334,0.003334,0.003334
103,42657.4,0.84635,0.72048,1.14048,0.85112,0.84817,0.88711,0.67196,0.82079,0.53354,1.02657,0.003268,0.003268,0.003268
104,1642.2,0.80983,0.66439,1.12241,0.85215,0.84633,0.88761,0.67207,0.82056,0.53268,1.02637,0.003202,0.003202,0.003202
105,3136.42,0.82237,0.67923,1.12976,0.85372,0.84747,0.88797,0.67223,0.82009,0.53183,1.02592,0.003136,0.003136,0.003136
106,4623.58,0.82194,0.68322,1.12626,0.85589,0.8483,0.88888,0.673,0.8196,0.53094,1.02546,0.00307,0.00307,0.00307
107,6105.18,0.82166,0.68419,1.12793,0.85631,0.84991,0.88945,0.67343,0.81896,0.53036,1.02485,0.003004,0.003004,0.003004
108,7593.45,0.82491,0.68286,1.13091,0.85558,0.85247,0.88915,0.67385,0.81846,0.52942,1.02427,0.002938,0.002938,0.002938
109,9093.52,0.81982,0.68193,1.12816,0.85078,0.85556,0.88926,0.67396,0.81767,0.52869,1.02356,0.002872,0.002872,0.002872
110,10586.5,0.81533,0.67779,1.12746,0.85029,0.85544,0.88937,0.67426,0.81711,0.52786,1.02303,0.002806,0.002806,0.002806
111,12069.9,0.82054,0.67975,1.12727,0.85025,0.85446,0.88936,0.67432,0.81643,0.52687,1.02239,0.00274,0.00274,0.00274
112,13547.5,0.81493,0.6731,1.12373,0.84995,0.85354,0.88971,0.67513,0.81558,0.5261,1.02163,0.002674,0.002674,0.002674
113,15030.3,0.81686,0.67723,1.12488,0.8511,0.85436,0.89027,0.6753,0.81476,0.52525,1.02094,0.002608,0.002608,0.002608
114,16512.8,0.81381,0.67378,1.12287,0.85109,0.85646,0.89078,0.67584,0.81438,0.52411,1.02052,0.002542,0.002542,0.002542
115,17992.1,0.81091,0.66873,1.12283,0.85196,0.85595,0.89107,0.6761,0.81345,0.5232,1.01973,0.002476,0.002476,0.002476
116,19465.5,0.81113,0.66838,1.12257,0.84818,0.86005,0.89138,0.67662,0.81262,0.52228,1.01929,0.00241,0.00241,0.00241
117,20941.3,0.81003,0.66177,1.11969,0.84793,0.86073,0.89137,0.67667,0.812,0.52106,1.0188,0.002344,0.002344,0.002344
118,22420.2,0.8064,0.66104,1.11876,0.84894,0.85994,0.89155,0.67708,0.81094,0.52014,1.01789,0.002278,0.002278,0.002278
119,23900.7,0.80538,0.65753,1.11809,0.85019,0.85979,0.89159,0.67749,0.81013,0.51895,1.01708,0.002212,0.002212,0.002212
120,25379.2,0.80279,0.65805,1.117,0.85269,0.85887,0.89164,0.67794,0.80942,0.51772,1.01649,0.002146,0.002146,0.002146
121,26864.2,0.7996,0.6506,1.11405,0.85319,0.85929,0.89189,0.67818,0.80848,0.51692,1.01555,0.00208,0.00208,0.00208
122,28348,0.7992,0.65409,1.11323,0.85264,0.85961,0.89217,0.67863,0.80797,0.51569,1.01508,0.002014,0.002014,0.002014
123,29832.6,0.79408,0.64366,1.11243,0.85281,0.85971,0.89242,0.67941,0.80701,0.5141,1.01428,0.001948,0.001948,0.001948
124,31352.7,0.79221,0.6463,1.10971,0.8531,0.85936,0.89287,0.68003,0.8063,0.51292,1.01374,0.001882,0.001882,0.001882
125,32825.2,0.7931,0.64444,1.10977,0.85373,0.8589,0.89351,0.68048,0.80536,0.51158,1.01297,0.001816,0.001816,0.001816
126,34313.4,0.79138,0.63645,1.11102,0.8501,0.8617,0.8936,0.68117,0.80461,0.51019,1.01238,0.00175,0.00175,0.00175
127,35792.4,0.78645,0.63801,1.10599,0.85002,0.86209,0.89404,0.68204,0.80374,0.50879,1.01179,0.001684,0.001684,0.001684
128,37283,0.78449,0.62981,1.10553,0.85192,0.86232,0.89454,0.68225,0.80285,0.50745,1.01101,0.001618,0.001618,0.001618
129,38764.5,0.78194,0.62558,1.10459,0.85295,0.86233,0.89516,0.68269,0.8022,0.50625,1.01048,0.001552,0.001552,0.001552
130,1547.74,0.74336,0.57896,1.08787,0.8528,0.86408,0.89553,0.68309,0.80195,0.50587,1.01022,0.001486,0.001486,0.001486
131,3004.74,0.75094,0.58977,1.09348,0.85373,0.86365,0.89526,0.68311,0.80175,0.50548,1.01014,0.00142,0.00142,0.00142
132,4460.5,0.74907,0.58763,1.08914,0.85423,0.86409,0.8957,0.6837,0.80165,0.50529,1.01003,0.001354,0.001354,0.001354
133,5909.21,0.75074,0.58841,1.09123,0.85533,0.86234,0.89573,0.68396,0.80153,0.50499,1.0099,0.001288,0.001288,0.001288
134,7349.95,0.7508,0.58505,1.09065,0.85529,0.86065,0.89571,0.68416,0.80107,0.50483,1.00928,0.001222,0.001222,0.001222
135,8798.96,0.74854,0.58388,1.08936,0.85554,0.86128,0.89587,0.68444,0.80079,0.50431,1.00891,0.001156,0.001156,0.001156
136,10212.6,0.74481,0.57987,1.08825,0.85554,0.86216,0.89618,0.68448,0.80025,0.50356,1.00841,0.00109,0.00109,0.00109
137,11635.8,0.74807,0.58255,1.08785,0.8587,0.86001,0.89645,0.68459,0.79998,0.50302,1.00814,0.001024,0.001024,0.001024
138,13065.6,0.74261,0.57656,1.08639,0.85954,0.85973,0.89668,0.68496,0.7996,0.5023,1.00767,0.000958,0.000958,0.000958
139,14497.9,0.74486,0.58051,1.08702,0.85991,0.85997,0.89683,0.68503,0.79926,0.50124,1.00731,0.000892,0.000892,0.000892
140,15938.1,0.74249,0.57789,1.08625,0.85912,0.8619,0.89708,0.68511,0.79904,0.50073,1.00707,0.000826,0.000826,0.000826
141,17351.1,0.69909,0.44815,1.05264,0.86511,0.85752,0.89755,0.68511,0.79853,0.49989,1.00658,0.00076,0.00076,0.00076
142,18762.6,0.68654,0.43354,1.04837,0.866,0.85587,0.89783,0.68591,0.79787,0.49901,1.00607,0.000694,0.000694,0.000694
143,20180.6,0.68228,0.42936,1.04544,0.86753,0.85544,0.89814,0.6865,0.79716,0.49799,1.00529,0.000628,0.000628,0.000628
144,21595.2,0.67453,0.41841,1.03778,0.86709,0.85668,0.89861,0.68672,0.79645,0.49706,1.00476,0.000562,0.000562,0.000562
145,23014.5,0.66899,0.41179,1.03706,0.86777,0.85673,0.89865,0.68697,0.79613,0.49621,1.00476,0.000496,0.000496,0.000496
146,24432.2,0.6668,0.40933,1.03226,0.8694,0.85622,0.89901,0.68773,0.79516,0.49499,1.00408,0.00043,0.00043,0.00043
147,25921.9,0.66223,0.40413,1.03265,0.86975,0.8575,0.89933,0.6878,0.79464,0.49399,1.00377,0.000364,0.000364,0.000364
148,27346.5,0.65454,0.39851,1.02674,0.87023,0.85758,0.89962,0.68858,0.79411,0.49324,1.00331,0.000298,0.000298,0.000298
149,28776.7,0.65171,0.39746,1.02742,0.86991,0.85832,0.8999,0.68846,0.79369,0.49247,1.0029,0.000232,0.000232,0.000232
150,30207.3,0.651,0.39178,1.02554,0.8706,0.85756,0.90012,0.68867,0.79314,0.49174,1.00236,0.000166,0.000166,0.000166
